year,survey_type,file_name,variable_name,variable_label,variable_type,unique_values,missing_count,total_obs,is_age,is_gender,is_race,is_ethnicity,is_language,is_citizenship,is_nativity,is_generation,is_political,is_immigration,is_approval,concept_count
2014,NSL,NSL2014_FOR RELEASE.sav,caseid,Respondent identifier,character,1520,0,1520,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,s1,"S-1. First can you please tell me, including yourself, how many adults, 18 or ol",haven_labelled,12,1039,1520,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,s1a,S-1a. And is this adult Hispanic or Latino?,haven_labelled,2,1401,1520,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,s2,S-2. And how many of the ... adults in your household are Hispanic or Latino?,haven_labelled,10,1158,1520,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,s2a,S-2a. May I please speak with the Hispanic adult living in this household?,haven_labelled,3,1345,1520,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,s2b,"S-2b. May I please speak with the Hispanic (male/female), 18 years of age or old",haven_labelled,5,1214,1520,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,s3,"S-3. Then may I speak to any Hispanic (male/female), 18 years of age or older, l",haven_labelled,4,1429,1520,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,s4a,"S-4a. Then may I speak to any Hispanic adult, 18 years of age or older, living i",haven_labelled,2,1426,1520,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,cell0,"CELL0. Before we continue, are you driving or doing anything that requires your",haven_labelled,2,481,1520,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,cell1,"CELL1. First, can you tell me, are you Hispanic or Latino?",haven_labelled,2,481,1520,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,cell2,CELL2. Could you please tell me if you are 18 or older?,haven_labelled,2,481,1520,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,gender,Gender of respondent,haven_labelled,2,0,1520,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,q1,"1. Just to confirm, are you, yourself of Hispanic or Latino origin or descent?",haven_labelled,1,0,1520,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,q2,2. The terms Hispanic and Latino are both used to describe people who are of His,haven_labelled,5,0,1520,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,q3,"3. Now I want to ask you about you and your family's heritage. Are you Mexican,",haven_labelled,10,0,1520,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,q3q3ot_combo,Q3/Q3OT combo,haven_labelled,31,0,1520,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,q4,"4. Were you born on the island of Puerto Rico, in the United States, or in anoth",haven_labelled,4,0,1520,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,q5,5. In what country were you born?,haven_labelled,25,682,1520,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2014,NSL,NSL2014_FOR RELEASE.sav,nativity1,Nativity with Puerto Rico as native born,haven_labelled,2,0,1520,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
