survey_year,generation_label,n,mean_val,se_val,variable,variable_label,ci_lower,ci_upper,category
2002,1st Generation,1974,-0.2973514896725255,0.012594567970810062,legalization_support_std,Support for Legalization,-0.3220368428953132,-0.2726661364497378,Pro-Immigration
2002,2nd Generation,513,-0.008620740792168754,0.043802047055102135,legalization_support_std,Support for Legalization,-0.09447275302016893,0.07723127143583143,Pro-Immigration
2002,3rd+ Generation,348,0.17463897527312602,0.06169298622394654,legalization_support_std,Support for Legalization,0.05372072227419081,0.2955572282720612,Pro-Immigration
2004,1st Generation,1254,-0.1762044859595831,0.01958554188503898,legalization_support_std,Support for Legalization,-0.2145921480542595,-0.1378168238649067,Pro-Immigration
2004,2nd Generation,573,0.06414587564268469,0.04528528018287058,legalization_support_std,Support for Legalization,-0.024613273515741635,0.152905024801111,Pro-Immigration
2004,3rd+ Generation,379,0.4877345199966715,0.0747491446133401,legalization_support_std,Support for Legalization,0.3412261965545249,0.6342428434388181,Pro-Immigration
2010,1st Generation,383,0.020266777760220976,0.052538801780024874,legalization_support_std,Support for Legalization,-0.08270927372862777,0.12324282924906974,Pro-Immigration
2010,2nd Generation,661,-0.07377931747109598,0.03462576827875986,legalization_support_std,Support for Legalization,-0.14164582329746528,-0.005912811644726665,Pro-Immigration
2010,3rd+ Generation,239,0.1291373548952267,0.07495021395142981,legalization_support_std,Support for Legalization,-0.017765064449575707,0.2760397742400291,Pro-Immigration
2021,1st Generation,3057,-0.007860227074721721,0.018180147216689303,legalization_support_std,Support for Legalization,-0.04349331561943275,0.027772861469989314,Pro-Immigration
2021,3rd+ Generation,125,0.11146969850338202,0.08017276045222908,legalization_support_std,Support for Legalization,-0.04566891198298699,0.268608308989751,Pro-Immigration
2022,1st Generation,2111,0.3251124955621864,0.01989331663227922,legalization_support_std,Support for Legalization,0.2861215949629191,0.3641033961614537,Pro-Immigration
2022,2nd Generation,4911,-0.15059079051882635,0.014343697579927026,legalization_support_std,Support for Legalization,-0.1787044377754833,-0.12247714326216938,Pro-Immigration
2022,3rd+ Generation,495,0.08158122340883263,0.04389010816821346,legalization_support_std,Support for Legalization,-0.0044433886008657525,0.16760583541853102,Pro-Immigration
2011,1st Generation,718,-0.10079813429815286,0.030344988202188825,daca_support_std,DACA Support,-0.16027431117444296,-0.041321957421862766,Pro-Immigration
2011,2nd Generation,219,0.08488535485202917,0.07629101036268308,daca_support_std,DACA Support,-0.06464502545882966,0.234415735162888,Pro-Immigration
2011,3rd+ Generation,257,0.20927302612248902,0.07998920101524891,daca_support_std,DACA Support,0.05249419213260115,0.3660518601123769,Pro-Immigration
2012,1st Generation,550,-0.03395906028207646,0.04202232733629581,daca_support_std,DACA Support,-0.11632282186121624,0.04840470129706333,Pro-Immigration
2012,2nd Generation,1148,0.007613070668903948,0.02963986946444377,daca_support_std,DACA Support,-0.05048107348140585,0.06570721481921374,Pro-Immigration
2018,1st Generation,731,-0.18313311609456184,0.0257512378117982,daca_support_std,DACA Support,-0.2336055422056863,-0.13266068998343739,Pro-Immigration
2018,2nd Generation,324,0.040491339327085894,0.0584677805243662,daca_support_std,DACA Support,-0.07410551050067185,0.15508818915484365,Pro-Immigration
2018,3rd+ Generation,384,0.3170872822670905,0.06726243913315023,daca_support_std,DACA Support,0.18525290156611604,0.4489216629680649,Pro-Immigration
2021,1st Generation,3060,0.007605908557765943,0.0180340583636932,daca_support_std,DACA Support,-0.02774084583507273,0.04295266295060461,Pro-Immigration
2021,3rd+ Generation,123,-0.09240468901140543,0.09541371435208103,daca_support_std,DACA Support,-0.27941556914148424,0.09460619111867337,Pro-Immigration
2002,1st Generation,1866,-0.07936577824442008,0.022750687732093017,immigration_level_opinion_std,Reduce Immigration Levels,-0.12395712619932239,-0.034774430289517766,Restrictive
2002,2nd Generation,496,0.08276726321656808,0.04481216269727898,immigration_level_opinion_std,Reduce Immigration Levels,-0.005064575670098728,0.17059910210323487,Restrictive
2002,3rd+ Generation,342,-0.06940542658759655,0.05381697555912181,immigration_level_opinion_std,Reduce Immigration Levels,-0.17488669868347528,0.03607584550828219,Restrictive
2007,1st Generation,1198,-0.051351845793300495,0.028971441913261727,immigration_level_opinion_std,Reduce Immigration Levels,-0.10813587194329348,0.00543218035669249,Restrictive
