variable,term,estimate,std_error,p_value,significance
liberalism_index,(Intercept),-0.05213785140230553,0.03921634508068853,0.21269554588899342,ns
liberalism_index,year_c,0.020139447467216805,0.0049831779421046244,0.004149404550374078,**
liberalism_index,generation_label2nd Generation,-0.015186954724584438,0.05114564096267781,0.7704332263058035,ns
liberalism_index,generation_label3rd+ Generation,0.26534426950338164,0.07115417984764824,0.002184387129704392,**
liberalism_index,year_c:generation_label2nd Generation,-0.034147058004285066,0.006338593671266787,6.37824033862485e-5,***
liberalism_index,year_c:generation_label3rd+ Generation,-0.0316913874003735,0.009072146469361048,0.003561726326190652,**
restrictionism_index,(Intercept),-0.035491232424997625,0.023708577371962025,0.15001471043372971,ns
restrictionism_index,year_c,0.006047476633299929,0.0031127870201869876,0.06625428265267556,ns
restrictionism_index,generation_label2nd Generation,0.07298259660207497,0.03963463574962271,0.08044734529143342,ns
restrictionism_index,generation_label3rd+ Generation,0.08698600150289504,0.05804703595637256,0.14961087995928446,ns
restrictionism_index,year_c:generation_label2nd Generation,-0.013466774585973361,0.005293138242164059,0.01931606026644069,*
restrictionism_index,year_c:generation_label3rd+ Generation,-0.003489908378554484,0.007986172084773974,0.666797647763117,ns
legalization_support,(Intercept),-0.06880431697958339,0.2745079047370711,0.8182688482502977,ns
legalization_support,year_c,-0.15752992215952186,0.032839837290162814,0.017353243859249422,*
legalization_support,generation_label2nd Generation,-0.15907264239411253,0.034258665791130134,0.0035320358806080828,**
legalization_support,generation_label3rd+ Generation,0.011877726695769477,0.04621712433525719,0.8057758876555294,ns
legalization_support,year_c:generation_label2nd Generation,-0.03000205814933425,0.003686692609815331,1.8560277123443787e-4,***
legalization_support,year_c:generation_label3rd+ Generation,-0.018435665183678885,0.005238421935659451,0.012556981398220288,*
daca_support,(Intercept),0.5196255235578252,0.554782888347527,0.4477438600875235,ns
daca_support,year_c,-0.24170919439118768,0.1335557711783038,0.21199662587537033,ns
daca_support,generation_label2nd Generation,0.018495393240173255,0.050125859622251925,0.7308363841278332,ns
daca_support,generation_label3rd+ Generation,0.07911397340167167,0.05214736965939682,0.20381418941527774,ns
daca_support,year_c:generation_label2nd Generation,-0.006827190664729432,0.01401202204573808,0.6515723267887612,ns
daca_support,year_c:generation_label3rd+ Generation,-0.007631834302753584,0.013080487653137279,0.5908952703846857,ns
deportation_policy_support,(Intercept),2.3984298296643574,0.014319189952152278,4.692338362438613e-7,***
deportation_policy_support,year_c,0.03482060584205742,0.003447028273548615,0.0020662511913892585,**
deportation_policy_support,generation_label2nd Generation,-0.15962764029593673,0.018998007791442475,0.0035363633092951267,**
deportation_policy_support,generation_label3rd+ Generation,-0.19119992477917475,0.029313664486454137,0.007322123145615263,**
deportation_policy_support,year_c:generation_label2nd Generation,-0.03484945625922105,0.0043053684291069995,0.00394050176850291,**
deportation_policy_support,year_c:generation_label3rd+ Generation,-0.00837314164192777,0.005870311049025518,0.24902465323802386,ns
border_security_support,(Intercept),1.715069398972733,0.052741592244013404,6.391588500195056e-5,***
border_security_support,year_c,0.03383322155440473,0.012689024867792085,0.07592703915394716,ns
border_security_support,generation_label2nd Generation,0.03726279154708565,0.07006232757150635,0.6316947600653688,ns
border_security_support,generation_label3rd+ Generation,-0.026117383717295984,0.10828836825940913,0.8249571984295582,ns
border_security_support,year_c:generation_label2nd Generation,-0.009617742753714685,0.015870382707353956,0.5872819303668332,ns
border_security_support,year_c:generation_label3rd+ Generation,0.018315267235520766,0.021683904648862842,0.46034167302532747,ns
